FECHA DE EVENTO,CATEGORÍA PC,INSTANCIA,NOMBRE ACTIVIDAD,MODALIDAD,ÁREA,PARTICIPACIÓN CIUDADANA,DIRECCIÓN,COMUNA,DESCRIPCIÓN,INSCRIPTOS,ASISTENTES,CANTIDAD DE VOTOS,RESULTADO VOTACION,RELEVAMIENTOS DE OPINIÓN
31/03/16,Proyecto,Votación Proyecto,ESTACIONES SALUDABLES,,Vice Jefatura,,,,,,,23994,"1. Asesoramiento en Actividad Física - 12.694 - 52,9% 2. Taller de Huerta - 5.862 - 24,4% 3. Más Clases de Yoga - 5.438 - 22,7%",
31/03/16,Obra,Primera reunión,SOLDADO DE LA FRONTERA,,Ministerio de Ambiente y Espacio Público (MAyEP),1ra reunión de vecinos para que nos acerquen sus ideas/propuestas/sugerencias.,Soldado de la Frontera entre Av. Roca y Ana Diaz,8,,236,74,,,
04/04/16,Proyecto,Votación Proyecto,ATENCIÓN VETERINARIA,,Ministerio de Ambiente y Espacio Público (MAyEP),,Av. Rivadavia y Albariño - Gral. Hornos y Aristóbulo del Valle - Bragado y Pilar - Mercedes y Pareja,,,,,3979,"1. Plaza Juan F. Salaberry - 1.132 - 28,4% 2. Plaza Arenales - 1.003 - 25,2% 3. Plaza Ejército de los Andes - 729 - 18,3% 4. Plaza Don Pepe - 1.132 - 28,4%",
04/04/16,Obra,Reunión Informativa,MTB NORTE,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Reunión informativa para contarles el proyecto a los vecinos ,,14,Actualmente la traza va desde Congreso de Tucuman hasta Av. Gral Paz. El proyecto Metrobus Cabilo etapa II propone extenderlo hasta la interseccion de Av Cabildo y Santos Dumont. Esta obra comprende 22 paradores y 5 estaciones.,25,5,,,
05/04/16,Obra,Primera reunión,PARQUE PATRICIOS,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Determinacion de usos. Equipamiento Urbano.,Av. Caseros y Monteagudo.,4,,65,70,,,
06/04/16,Obra,Primera reunión,ÁREA AMBIENTAL RETIRO,,Ministerio de Ambiente y Espacio Público (MAyEP),1ra reunión de vecinos para que nos acerquen sus ideas/propuestas/sugerencias. La reunión se hará a las 18hs en Av. Santa Fe 1145 (Sociedad Científica Argentina),"Carlos Pellegrini, Av. del Libertador, Maipú y Santa Fe. Entre calles: Suipacha (entre Libertador y Santa Fe), Arroyo (entre C. Pellegrini y Esmeralda), Basavilbaso, (entre Arenales y LibertadoR) Pasaje Sargeto Cabral (esq. Esmeralda y Arroyo).",1,,200,200,,,
07/04/16,Obra,Votación Obras,PLAZA CONGRESO,,Ministerio de Ambiente y Espacio Público (MAyEP),"¿Estás de acuerdo en que el espacio verde de la Plaza Lorea (Ubicada frente a la Plaza del Congreso, entre Avenida de Mayo, Avenida Rivadavia y la calle Presidente Luis Sáenz Peña) permanezca enrejado? Estoy de acuerdo No estoy de acuerdo","AV. - RIVADAVIA, AV. - DE MAYO, AV. - SAEZ PEÑA, LUIS, PRES",1,,,,15530,"1. Estoy de acuerdo - 11.359 - 73.1% 2. No estoy de acuerdo - 4.171 - 26,9%",
12/04/16,Proyecto,Votación Proyecto,PREVIA MASTICAR,,Vice Jefatura,"Sobre qué tema te gustaría hablar con los Chefs de Masticar? Cocina semanal (recetas rápidas y sencillas), cocina familiar, cocina con productos de estación",,,,,,18280,"1. Cocina para la familia - 9.741 - 53,3% 2. Cocina semanal - 5.019 - 27,5% 3. Cocina con productos de estación - 3.520 - 19,3%",
12/04/16,Obra,Reunión Informativa,PUENTES FERROVIARIOS,,Ministerio de Ambiente y Espacio Público (MAyEP),"Reunión informativa del proyecto
 Av. Avellaneda 1359. 18hs","Cruce FFCC Sarmiento: Otamendi, Campichuelo, Hidalgo, Río de Janeiro",6,Puesta en valor de los cruces peatonales,155,68,,,
13/04/16,Proyecto,Votación Proyecto,BAFICI,,Ministerio de Cultura,"Qué clásico del BAFICI te gustaría volver a ver? Policeman, Berberian Sound Studio, El Picasso de Persia o Court",Centro Cultural Recoleta. Junin 1930. (Se desarrolla en varios lugares en simultáneos),,Se proyectará en una sala la película más taquillera de ediciones anteriores,,,13611,1. El Picasso de Persia - 6.078 - 45% 2. Policeman - 3.570 - 26% 3. Berberian Sound Studio - 2.220 - 16% 4. La Acusación - 1.743 - 13%,
13/04/16,Obra,Primera reunión,PARQUE 3 DE FEBRERO,,Ministerio de Ambiente y Espacio Público (MAyEP),"1ra reunión de vecinos para que nos acerquen sus ideas/propuestas/sugerencias. Av.de los Ombues y Andrés Bello (Parque 3 de febrero), a las 18hs","Av. F. alcorta , Av. de los Ombues, Av. Valentin Alsina",14,,110,18,,,
20/04/16,Proyecto,Votación Proyecto,DUATLÓN,,Vice Jefatura,Te gustaría que se sume una nueva distancia (9k Running/50k Bici/6K Running) al Duatlón que se va a llevar a cabo el 27 de Agosto en el Autódromo? Necesitamos el 60% de los Votospositivos para que se apruebe el proyecto.,Av. Roca y Colectora General Paz,,Actualmente el Duatlón cuenta con dos distancias: 6KRunning/30KBici/3KRunning y 3KRunning/20KBici/3KRunning.,,,8058,"1. Si me gustaría - 5.213 - 64,7% 2. No me gustaría - 2.845 - 35,3%",
21/04/16,Proyecto,Evento Proyectos,FERIA MASTICAR,,Vice Jefatura,Se invitó a los vecinos a la Feria Masticar ,,,,624,170,,,
