titulo;director;productor;a�o;idioma;pais;formato;minutos;premier_mundial;compania_productora;premios;web_entradas;sinopsis_es;reparto;tipo
Ariel Rot - La Huesuda Tour 2014;Damian Pantaleone;Damian Pantaleone - La Taberna Prod;2014;Español - Castellano;Argentina;Digital;33 min;no;La Taberna Prod;"";"";"";"";Cortometraje
El Hacedor de Ilusiones;Pablo Giurastante;Damian Pantaleone;2014;Español - Castellano;Argentina;digital;43 min;no;La Taberna Prod - ZORCO Prod.;Mencion especial del Jurado;"";"";"";Cortometraje
Ella te elige;José Luis Inda;Termopol producciones;2014;Español;Argentina;prores;6  min;si;Termopol producciones;Mejor edición, mejor música original y mejor cortometraje en Desafío 48hs Tandil Cine 2014.;"";"";"";Cortometraje
Blue Signal;Michael Yaroshevsky;Michael Yaroshevsky;2014;No Dialogue;Canadá;"35mm; DCP";00 min;no;Y35 STUDIO;"";"";"";"";Cortometraje
Hoje sou da maneira que você me quer;Renato Ogata;Renato Ogata;2014;Português;Brasil;DCP;14 min;si;-;"";"";"";"";Cortometraje
Iniciación;Juan Francisco Otaño;Juan Francisco Otaño;2014;Castellano;Argentina;Digital;9  min;si;Naipes Bravos;N/A;"";"";"";Cortometraje
El observador;Juan Francisco Otaño;Juan Francisco Otaño;2014;Castellano;Argentina;Digital;5  min;si;Naipes Bravos;N/A;"";"";"";Cortometraje
prelo;Raquel Pinheiro e Virgínia Pitzer;benvinda raquel dangelo, raquel pinheiro e virginia pitzer;2014;portugues;Brasil;DCP;18 min;no;raquel pinheiro;"";"";"";"";Cortometraje
Las Pequeñas Cosas;Carla Simón Pipó;Valérie Delpierre;2014;Español;España;DCP, archivo digital ;27 min;no;Inicia Films;"";"";"";"";Cortometraje
Notre dame des hormones;Bertrand Mandico;Emmanuel Chaumet;2014;frances;Francia;DCP;30 min;no;Ecce films;"";"";"";"";Cortometraje
Le plus petit appartement de Paris;Helena Villovitch;Emmanuel Chaumet;2014;frances;Francia;DCP;15 min;no;Ecce films;"";"";"";"";Cortometraje
El barco del pescador;Antonio Borduque;Antonio Borduque;2014;Portugués-Español;Argentina;Archivo digital ProRes LT;03 min;si;Edícula Films;"";"";"";"";Cortometraje
Las pérdidas;Julen Laburu;Julen Laburu;2015;Español;Argentina;Archivos Digitales;12 min;si;Julen Laburu;"";"";"";"";Cortometraje
Cet Amour;Ivan Stoessel;Ivan Stoessel;2013;Español;Argentina;archivos digitales ProRes;3. min;si;SP Cine;"";"";"";"";Cortometraje
Respira;Amanda Pérez;Sebastián Peña;2014;Español;Venezuela;Archivos Digitales ProRes, DCP;08 min;no;Kinetos Films / Escuela de Medios Audiovisuales;En el Festival de Cortos de Barquisimeto 2014: Mejor Actriz, Mejor Dirección, Mejor Música, Mejor Banda Sonora, Mejor Cortometraje Estudiantil Nacional, Premio CNAC al Mejor Cortometraje;"";"";"";Cortometraje
Desposesión;César Guardia Alemañi;Analía Piccoli, Mercedes Palumbo, Francisco Castro Pizzo;2014;Español;Argentina;Archivo digital ProRes;4  min;si;Universidad de Cine (corto de Estudiante);Ninguno;"";"";"";Cortometraje
Oμφαλoς: A tênue linha, trajetória do útero ao chão. ;Marcio Moraes;Marcio Moraes;2014;Português;Brasil;Digital HD (.m4v);00 min;si;Marcio R. Moraes F.;"";"";"";"";Cortometraje
Oμφαλoς: A tênue linha, trajetória do útero ao chão. ;Marcio Moraes;Marcio Moraes;2014;Portuguese;Brasil;Digital HD;00 min;si;Marcio R. Moraes F.;"";"";"";"";Cortometraje
Cambio de Sentido;Alfonso Díaz;Alfonso Díaz;2014;Español;España;DCP;15 min;no;Alfonso Díaz Producciones;http://lineupshorts.wordpress.com/catalogo-short-films/cambio-de-sentido/;"";"";"";Cortometraje
Out of Tune;Pedro Vinícius;Ed Cripps;2014;English;Reino Unido;DCP, ProRes;10 min;si;Northern Film School;None;"";"";"";Cortometraje
